example,N,lambda,m,x,error,log10_error
6.2,40,5,1,0.48002124296868428,0.613859990943379139,-0.211930671357845151
6.2,40,5,1,0.589692898001301195,0.658879726332588667,-0.181193855447369993
6.2,40,5,1,0.690515240101286724,0.689186392767857162,-0.161663305809284784
6.2,40,5,1,0.780219819197104766,0.706339573706123089,-0.150986461084617211
6.2,40,5,1,0.856733435185591328,0.713159240242259327,-0.146813486365614035
6.2,40,5,1,0.918249619793461696,0.713176534855193922,-0.146802954546815614
6.2,40,5,1,0.963291920680397199,0.710001286234672311,-0.148740864514566074
6.2,40,5,1,0.990766248122838913,0.70671496424278693,-0.150755712676698416
6.2,40,5,1,1.0,0.705378428628501302,-0.151577825744309167
6.2,80,10,2,-1.0,0.364489131799493868,-0.43831541678325464
6.2,80,10,2,-0.999999999885437654,0.363598166023087273,-0.439378316011296388
6.2,80,10,2,-0.999999992676485618,0.360934368051570178,-0.442571762594107021
6.2,80,10,2,-0.999999916741269935,0.356524939570868643,-0.447910085057074383
6.2,80,10,2,-0.99999953345903202,0.350414895971095058,-0.455417440459022222
6.2,80,10,2,-0.99999822645520509,0.342666587111722156,-0.465128240888063349
6.2,80,10,2,-0.999994726652185799,0.333359030231246043,-0.477087775947200191
6.2,80,10,2,-0.999986769138318608,0.322587058953517003,-0.491353058948941478
6.2,80,10,2,-0.99997068940438076,0.310460293633793195,-0.507993936094233161
6.2,80,10,2,-0.999940967920876958,0.297101939696491815,-0.527094512798378833
6.2,80,10,2,-0.999889733307194123,0.28264742216303658,-0.548754971093562591
6.2,80,10,2,-0.999806235453761988,0.267242866263760971,-0.573093878948498652
6.2,80,10,2,-0.999676300881931877,0.251043435872540046,-0.600251129802894783
6.2,80,10,2,-0.999481783347208259,0.234211543481222961,-0.630391703855237077
6.2,80,10,2,-0.999200023196641102,0.216914947508754586,-0.663710519922653706
6.2,80,10,2,-0.998803329270719479,0.199324754862005482,-0.700438761347956708
6.2,80,10,2,-0.998258497187473712,0.181613348755848178,-0.740852233579544462
6.2,80,10,2,-0.997526377658644585,0.163952263764887907,-0.785282582448036068
6.2,80,10,2,-0.996561508065195625,0.146510031812217645,-0.834132637347219952
6.2,80,10,2,-0.995311819866148711,0.129450024192339745,-0.887897864065735865
6.2,80,10,2,-0.993718433538229084,0.112928315675926154,-0.947197149306583623
6.2,80,10,2,-0.991715551655028179,0.097091597177078861,-1.01281835461864189
6.2,80,10,2,-0.989230459427502989,0.0820751633421846324,-1.08578824428502061
6.2,80,10,2,-0.986183640559866311,0.0680010007603462835,-1.16748469580114706
6.2,80,10,2,-0.982489014646351744,0.0549760013815812631,-1.25982685127077872
6.2,80,10,2,-0.978054300567583847,0.0430903243157604291,-1.36562023721784935
6.2,80,10,2,-0.972781508465211609,0.0324159276991948347,-1.48924154497343334
6.2,80,10,2,-0.966567560906830904,0.0230052910441302887,-1.63817226802577821
6.2,80,10,2,-0.959305041828306433,0.0148903477555800863,-1.8270951594294304
6.2,80,10,2,-0.950883069786804747,0.00808164764262043803,-2.09250008858794086
6.2,80,10,2,-0.94118829000527156,0.00256777056318721532,-2.59044378418312554
6.2,80,10,2,-0.930105977668111448,0.00168498497040062472,-2.77340396856189156
6.2,80,10,2,-0.91752124296868428,0.00473261027151651808,-2.32489925802909964
6.2,80,10,2,-0.90332032654156135,0.00665305866593653869,-2.1769786469762893
6.2,80,10,2,-0.887391972164912793,0.00754554167320916993,-2.12230957799021743
6.2,80,10,2,-0.869628862018127646,0.00752940291015500956,-2.12323946245886153
6.2,80,10,2,-0.849929098352177355,0.00674251764214151315,-2.17117790851990852
6.2,80,10,2,-0.828197714198508206,0.00533916214622092772,-2.2725268897546195
6.2,80,10,2,-0.804348194727037195,0.00348729685987432132,-2.45751108126820526
6.2,80,10,2,-0.778303990082934959,0.00136521236326553319,-2.86479978743581942
6.2,80,10,2,-0.75,8.4250069526093763e-4,-3.07442973206153284
6.2,80,10,2,-0.719384010216911023,0.00294967599719680111,-2.53022568583792277
6.2,80,10,2,-0.6864180607193161,0.00477397815412055091,-2.32111957267040474
6.2,80,10,2,-0.651079726099749245,0.00614293865954301367,-2.21162382131644391
6.2,80,10,2,-0.613363288869187824,0.00690051758982016679,-2.1611183327450264
6.2,80,10,2,-0.573280787365337421,0.00691402814768294646,-2.16026885673481844
6.2,80,10,2,-0.530862920976363103,0.00608119611319134289,-2.21601099074890241
6.2,80,10,2,-0.486159796724007817,0.004337059805232603,-2.3628045891716366
6.2,80,10,2,-0.439241502812526288,0.0016603539796309178,-2.77979931255521923
6.2,80,10,2,-0.390198496531911756,0.00192102989160642948,-2.71646587737738618
6.2,80,10,2,-0.339141795884639083,0.00632594665641616019,-2.19887447459572806
6.2,80,10,2,-0.286202966460832995,0.0114177091464214102,-1.94242102436253714
6.2,80,10,2,-0.231533897391048414,0.0170040260479590317,-1.76944823842167508
6.2,80,10,2,-0.175306362630130745,0.0228395175544507439,-1.6413130740537183
6.2,80,10,2,-0.117711366339448484,0.0286310541218005136,-1.54316266207782095
6.2,80,10,2,-0.0589582737062334818,0.0340460190383332487,-1.4679336623344649
